procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 0  1      0 12396340 825284 1188096    0    0     0 10424 22708 39534 13 11 66 10  0  0 2026-09-08 15:12:14
19  2      0 12393844 825680 1189004    0    0     0 13224 30564 55364 16 13 61 10  0  0 2026-09-08 15:12:15
 4  2      0 12392328 826032 1189692    0    0     0 10144 28116 50155 15 13 63  9  0  0 2026-09-08 15:12:16
 0  1      0 12390552 826308 1191352    0    0     0 11372 28023 48858 17 15 59  9  0  0 2026-09-08 15:12:17
 1  2      0 12390668 826532 1191240    0    0     0  8956 20464 36428 10  7 72 12  0  0 2026-09-08 15:12:18
 1  2      0 12390756 827024 1192700    0    0     0 15536 41197 72367 14 14 63  9  0  0 2026-09-08 15:12:19
 0  2      0 12390220 828064 1193412    0    0     0 17552 39750 68597  9 11 71  9  0  0 2026-09-08 15:12:20
 0  1      0 12388496 828996 1194048    0    0     0 15404 38546 66580 10 12 69  9  0  0 2026-09-08 15:12:21
 1  1      0 12387400 830104 1194804    0    0     0 16208 39671 68870  9 10 71  9  0  0 2026-09-08 15:12:22
 2  1      0 12384240 830832 1196364    0    0     0 16076 37024 63921 11 11 68 10  0  0 2026-09-08 15:12:23
 5  2      0 12381476 831720 1198196    0    0     0 18012 40106 69346 10 11 70  9  0  0 2026-09-08 15:12:24
 4  1      0 12376672 832708 1201048    0    0     0 18776 39507 68157 10 12 69  9  0  0 2026-09-08 15:12:25
 2  1      0 12373748 833652 1202768    0    0     0 17788 40827 71085  8 11 71  9  0  0 2026-09-08 15:12:26
 0  1      0 12371984 834652 1203484    0    0     0 16428 39282 68115  9 11 72  9  0  0 2026-09-08 15:12:27
 2  2      0 12368768 835724 1204116    0    0     0 16252 39259 67711 10 11 70  9  0  0 2026-09-08 15:12:28
 0  2      0 12365928 836692 1204848    0    0    16 15996 38483 66661  9 10 70 11  0  0 2026-09-08 15:12:29
 1  1      0 12364176 837776 1205556    0    0     0 17020 38037 65592  9 10 72  9  0  0 2026-09-08 15:12:30
 5  2      0 12390488 838220 1175820    0    0     0  9288 14397 22765 12  8 75  5  0  0 2026-09-08 15:12:31
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  1      0 12329916 838656 1175976    0    0     0  9772 12210 18373 14  7 74  4  0  0 2026-09-08 15:12:32
 1  0      0 12616308 839136 1008668    0    0    64  9164 11231 16754  5  5 85  5  0  0 2026-09-08 15:12:33
 3  0      0 12574628 839308 1008748    0    0     0  5724 9597 13820 13  6 79  2  0  0 2026-09-08 15:12:34
 2  0      0 12507380 839460 1008748    0    0     0  5532 6423 8320 14  5 79  2  0  0 2026-09-08 15:12:35
 1  0      0 12580612 839716 1008800    0    0     0  7760 7918 11682  5  6 87  2  0  0 2026-09-08 15:12:36
 1  0      0 12521432 839876 1008800    0    0     0  5968 8887 13229 15  5 77  2  0  0 2026-09-08 15:12:37
 4  0      0 12623752 839924 1008824    0    0     0   660 6033 8196  5  6 89  1  0  0 2026-09-08 15:12:38
 1  0      0 12562884 839964 1008860    0    0     0   328 7511 10619 16  5 78  0  0  0 2026-09-08 15:12:39
 0  1      0 12497364 840000 1008860    0    0     0   340 5886 7895 13  4 81  2  0  0 2026-09-08 15:12:40
 0  1      0 12625896 840044 1001860    0    0     0   336 3784 4507  0  1 98  1  0  0 2026-09-08 15:12:41
 0  0      0 12625896 840116 1001860    0    0     0   408 4231 5235  0  1 98  1  0  0 2026-09-08 15:12:42
 0  0      0 12626656 840152 1001860    0    0     0   272 2740 3403  0  1 99  0  0  0 2026-09-08 15:12:43
 0  0      0 12629788 840204 1001852    0    0     0   344 2807 3497  0  1 99  1  0  0 2026-09-08 15:12:44
 0  0      0 12633508 840240 1001860    0    0     0   236 2485 3027  0  0 97  3  0  0 2026-09-08 15:12:45
 0  0      0 12636812 840300 1001844    0    0     0   264 2672 3275  0  0 99  1  0  0 2026-09-08 15:12:46
 1  0      0 12639820 840352 1001860    0    0     0   292 2738 3361  0  0 99  1  0  0 2026-09-08 15:12:47
 0  0      0 12643564 840384 1001852    0    0     0   264 2812 3418  0  1 98  1  0  0 2026-09-08 15:12:48
 0  0      0 12645260 840444 1001860    0    0     0   344 2724 3448  0  1 99  1  0  0 2026-09-08 15:12:49
 0  0      0 12648548 840496 1001852    0    0     0   272 2718 3280  0  0 99  1  0  0 2026-09-08 15:12:50
 2  0      0 12652308 840528 1001860    0    0     0   264 2692 3308  0  1 99  1  0  0 2026-09-08 15:12:51
 1  0      0 12655960 840572 1001852    0    0     0   264 2740 3394  0  1 99  0  0  0 2026-09-08 15:12:52
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 0  0      0 12658992 840628 1001860    0    0     0  1480 2695 3330  0  1 99  0  0  0 2026-09-08 15:12:53
 0  0      0 12660908 840680 1001864    0    0     0   352 2862 3510  0  1 99  0  0  0 2026-09-08 15:12:54
 0  0      0 12661876 840716 1001852    0    0     0   264 2681 3273  0  1 99  0  0  0 2026-09-08 15:12:55
 0  0      0 12662964 840772 1001864    0    0     0   264 2719 3299  0  0 99  0  0  0 2026-09-08 15:12:56
 0  0      0 12663916 840804 1001864    0    0     0   520 2693 3275  0  1 99  0  0  0 2026-09-08 15:12:57
 0  0      0 12664748 840852 1001864    0    0     0   264 2692 3286  0  0 99  0  0  0 2026-09-08 15:12:58
 0  0      0 12665980 840904 1001852    0    0     0   320 2730 3454  0  1 99  0  0  0 2026-09-08 15:12:59
 0  0      0 12666616 840960 1001864    0    0     0   248 2549 3225  0  0 99  0  0  0 2026-09-08 15:13:00
 0  0      0 12669916 841020 1001852    0    0     0   232 2447 3033  0  2 97  1  0  0 2026-09-08 15:13:01
 0  0      0 12669964 841060 1001864    0    0     0   268 2562 3151  0  1 99  0  0  0 2026-09-08 15:13:02
 0  0      0 12669964 841104 1001852    0    0     0   216 2431 2970  0  0 99  0  0  0 2026-09-08 15:13:03
 0  0      0 12669712 841152 1001864    0    0     0   296 2496 3039  0  1 99  0  0  0 2026-09-08 15:13:04
 0  0      0 12671096 841184 1001864    0    0     0   216 2630 3120  0  1 99  0  0  0 2026-09-08 15:13:05
 0  0      0 12670772 841240 1001864    0    0     0   220 2408 2902  0  0 99  1  0  0 2026-09-08 15:13:06
 0  0      0 12670772 841276 1001864    0    0     0   296 2420 2921  0  0 99  1  0  0 2026-09-08 15:13:07
 0  0      0 12670772 841324 1001852    0    0     0   216 2483 2922  0  0 99  0  0  0 2026-09-08 15:13:08
 0  1      0 12660056 841564 1008432    0    0    48  2964 6138 9032  1  1 96  2  0  0 2026-09-08 15:13:09
 0  1      0 12658396 842476 1010024    0    0   384 14872 11840 18311  1  4 87  8  0  0 2026-09-08 15:13:10
 4  0      0 12612572 842712 1010340    0    0     0  4336 9916 15035  5  6 87  2  0  0 2026-09-08 15:13:11
 2  0      0 12547656 842808 1010340    0    0     0  2876 6864 9720 14  5 76  4  0  0 2026-09-08 15:13:12
 1  0      0 12610568 842932 1010388    0    0     0  2992 7301 10086  6  6 86  2  0  0 2026-09-08 15:13:13
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 2  0      0 12537560 843124 1010424    0    0     0  5868 9548 14151 16  6 76  2  0  0 2026-09-08 15:13:14
 0  0      0 12563092 843208 1031204    0    0     0   812 11408 17292  5  4 90  1  0  0 2026-09-08 15:13:15
 0  0      0 12566840 843656 1031840    0    0     0  2912 15434 24829  2  5 90  4  0  0 2026-09-08 15:13:16
 0  1      0 12565888 844476 1031904    0    0     0  7640 11996 18749  1  3 88  8  0  0 2026-09-08 15:13:17
 0  1      0 12565188 845432 1032108    0    0     0  8048 13644 21997  1  4 88  7  0  0 2026-09-08 15:13:18
 0  1      0 12563916 846280 1032172    0    0     0  8020 13222 21403  1  4 88  7  0  0 2026-09-08 15:13:19
 1  1      0 12562164 847168 1032364    0    0     0  7900 13343 21164  2  4 88  7  0  0 2026-09-08 15:13:20
 0  1      0 12561376 848156 1032512    0    0     0  8064 13948 21918  1  4 88  7  0  0 2026-09-08 15:13:21
 0  1      0 12558872 849188 1032768    0    0     0  8072 13783 21815  1  4 88  7  0  0 2026-09-08 15:13:22
 0  1      0 12558264 849980 1032912    0    0     0  7276 12614 20081  1  3 88  8  0  0 2026-09-08 15:13:23
 0  1      0 12558020 850956 1033024    0    0     0  7792 13543 21544  1  4 88  7  0  0 2026-09-08 15:13:24
 1  0      0 12557484 851852 1033156    0    0     0  7896 13438 21601  1  3 89  7  0  0 2026-09-08 15:13:25
 0  1      0 12554964 852600 1033196    0    0     0  7680 13650 21683  1  4 88  7  0  0 2026-09-08 15:13:26
 0  1      0 12552444 853428 1033124    0    0     0  7960 13645 21582  1  3 89  7  0  0 2026-09-08 15:13:27
 0  1      0 12551904 854112 1033460    0    0     0  8276 13583 21511  1  4 88  7  0  0 2026-09-08 15:13:28
 1  1      0 12551372 854892 1033564    0    0     0  7960 13187 21120  1  3 88  7  0  0 2026-09-08 15:13:29
 0  0      0 12549380 855904 1033740    0    0     0  8048 13621 21783  1  3 89  7  0  0 2026-09-08 15:13:30
 1  1      0 12548472 856756 1033892    0    0     0  7700 12935 20476  1  4 88  7  0  0 2026-09-08 15:13:31
 0  0      0 12545288 857016 1033992    0    0     0  3640 29963 55089  3  7 88  2  0  0 2026-09-08 15:13:32
 1  0      0 12540476 857132 1033996    0    0     0  2580 34601 64470  3  7 88  1  0  0 2026-09-08 15:13:33
 0  0      0 12539464 857444 1034192    0    0     0  4380 9009 14328  1  2 94  3  0  0 2026-09-08 15:13:34
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  1      0 12514276 858016 1014608    0    0   148  7256 24643 41805  5  8 83  5  0  0 2026-09-08 15:13:35
 3  1      0 12497668 859052 1023408    0    0     0 23568 40283 69730  8 11 73  9  0  0 2026-09-08 15:13:36
 1  1      0 12451820 860088 1060068    0    0     0 19412 40426 69824  7 12 73  9  0  0 2026-09-08 15:13:37
 1  1      0 12401704 861100 1094672    0    0     0 17060 39465 68306  9 10 73  9  0  0 2026-09-08 15:13:38
 1  2      0 12397940 861948 1096464    0    0     0 16344 39139 67355  9 10 72  9  0  0 2026-09-08 15:13:39
 1  0      0 12385204 862928 1106588    0    0     0 24656 39951 69017  8 12 72  9  0  0 2026-09-08 15:13:40
 3  1      0 12382448 863888 1108128    0    0     0 15832 39234 67746  8 10 73  9  0  0 2026-09-08 15:13:41
 1  1      0 12377456 864812 1109688    0    0     0 15056 39548 68545  9 12 70  9  0  0 2026-09-08 15:13:42
 2  1      0 12375236 865672 1112260    0    0     0 16976 40096 69358  8 12 72  9  0  0 2026-09-08 15:13:43
 6  0      0 12356096 866040 1131872    0    0     0 34636 38560 66525  8 10 73  9  0  0 2026-09-08 15:13:44
 2  1      0 12356444 866396 1133100    0    0     0 14920 36423 62332  9 11 71  9  0  0 2026-09-08 15:13:45
 3  1      0 12355260 866772 1134392    0    0     0 16076 40583 70130  8 12 72  9  0  0 2026-09-08 15:13:46
 3  1      0 12343956 867172 1144360    0    0     0 24296 37968 65216  8 11 72  9  0  0 2026-09-08 15:13:47
 3  1      0 12343128 867500 1145648    0    0     0 15916 39584 68262  8 11 73  9  0  0 2026-09-08 15:13:48
 5  1      0 12342548 867844 1146908    0    0     0 16292 37482 64944  8 10 74  9  0  0 2026-09-08 15:13:49
 1  2      0 12329464 868188 1158884    0    0     0 26028 38638 66049 10 12 70  9  0  0 2026-09-08 15:13:50
 0  1      0 12306856 868500 1161144    0    0     0 17052 39005 67544 10 11 71  9  0  0 2026-09-08 15:13:51
 0  1      0 12302756 868836 1163448    0    0     0 17012 38750 66779  8 10 73  9  0  0 2026-09-08 15:13:52
 2  1      0 12299852 869212 1165728    0    0     0 16904 38895 67166  8 10 73  9  0  0 2026-09-08 15:13:53
 1  2      0 12298572 869512 1168000    0    0     0 17404 40024 69296  8 10 73  9  0  0 2026-09-08 15:13:55
 1  1      0 12295576 869800 1170340    0    0     0 17404 39370 68193  8 10 74  9  0  0 2026-09-08 15:13:56
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 3  1      0 12292636 870068 1172644    0    0     0 17396 39587 68675  8  9 73  9  0  0 2026-09-08 15:13:57
10  1      0 12290868 870400 1173960    0    0     0 16036 38813 66878  8 10 73  9  0  0 2026-09-08 15:13:58
 4  1      0 12288288 870772 1177372    0    0     0 18808 38771 66829  8 11 72  9  0  0 2026-09-08 15:13:59
 0  1      0 12286340 871032 1179720    0    0     0 17732 38894 66923  8 11 72  9  0  0 2026-09-08 15:14:00
 0  1      0 12284168 871332 1180992    0    0     0 16520 39515 68139  8 11 72  9  0  0 2026-09-08 15:14:01
 3  1      0 12280660 871644 1183360    0    0     4 17724 40268 69720  8 11 72  9  0  0 2026-09-08 15:14:02
 2  2      0 12277884 871912 1184588    0    0     0 16520 39538 68426  8 11 71  9  0  0 2026-09-08 15:14:03
 4  1      0 12275980 872132 1185800    0    0     0 15916 39654 68544  9 11 71  9  0  0 2026-09-08 15:14:04
 0  1      0 12271248 872316 1188984    0    0     0 17692 38901 67181 10 11 71  9  0  0 2026-09-08 15:14:05
 1  1      0 12268908 872500 1190320    0    0     0 15556 39528 68189 10 11 70  9  0  0 2026-09-08 15:14:06
 3  1      0 12265568 872740 1191520    0    0     0 15752 39059 67446  9 12 70  9  0  0 2026-09-08 15:14:07
 1  1      0 12262300 872944 1193908    0    0     0 17276 39252 67721  8 10 73  9  0  0 2026-09-08 15:14:08
 0  1      0 12260128 873044 1195288    0    0     0  8632 18159 30582  5  5 75 14  0  0 2026-09-08 15:14:09
 0  1      0 12256824 873332 1196836    0    0     0 18084 44835 79494 10 11 69  9  0  0 2026-09-08 15:14:10
 2  1      0 12254172 873604 1198108    0    0     0 16352 38884 66846  8 11 72  9  0  0 2026-09-08 15:14:11
 0  2      0 12250492 873836 1200440    0    0     0 18524 40000 69108  8 10 73  9  0  0 2026-09-08 15:14:12
 0  1      0 12248040 874068 1201632    0    0     0 16608 39414 68093  9 11 71  9  0  0 2026-09-08 15:14:13
 0  1      0 12243896 874344 1203740    0    0     0 15768 32929 56216  7 10 73 10  0  0 2026-09-08 15:14:14
 4  1      0 12241008 874720 1205964    0    0     0 17812 40510 70486  9 12 70  9  0  0 2026-09-08 15:14:15
 4  1      0 12236520 875136 1208248    0    0     0 18188 38268 65902  8 11 72  9  0  0 2026-09-08 15:14:16
 1  1      0 12232264 875520 1210584    0    0     0 18724 39528 68143  9 11 71  9  0  0 2026-09-08 15:14:17
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 2  1      0 12229020 875892 1212876    0    0     0 18316 38263 66236  8 10 73  9  0  0 2026-09-08 15:14:18
 1  1      0 12225972 876312 1214176    0    0     0 17764 39861 68810  9 11 72  9  0  0 2026-09-08 15:14:19
 1  1      0 12222244 876612 1216476    0    0     0 17916 36750 63379  8  9 71 11  0  0 2026-09-08 15:14:20
 1  1      0 12217856 877000 1217548    0    0     0 17496 39492 68167  9 11 71  9  0  0 2026-09-08 15:14:21
 4  1      0 12213508 877496 1219956    0    0     0 17864 38139 65903  9  9 73  9  0  0 2026-09-08 15:14:22
 2  1      0 12210996 877792 1221144    0    0     0 14712 36914 63787 11 12 69  9  0  0 2026-09-08 15:14:23
 4  1      0 12208524 878096 1223404    0    0     0 17416 40231 69315 11 12 69  8  0  0 2026-09-08 15:14:24
 2  1      0 12206616 878352 1226484    0    0     0 16832 37084 63577 10 12 69  9  0  0 2026-09-08 15:14:25
 1  1      0 12291492 878632 1228656    0    0     0 15656 36993 63597 12 13 66  8  0  0 2026-09-08 15:14:26
 2  2      0 12289720 879000 1229820    0    0     0 16280 39119 67565  9 13 69  9  0  0 2026-09-08 15:14:27
 6  1      0 12289000 879304 1231068    0    0     0 17300 39690 68616  8 10 73  9  0  0 2026-09-08 15:14:28
 3  1      0 12289160 879644 1232376    0    0     0 17416 39345 67911  9  9 73  9  0  0 2026-09-08 15:14:29
 2  1      0 12288484 880004 1233620    0    0     0 17888 39727 68786  8 11 72  9  0  0 2026-09-08 15:14:30
 6  1      0 12284728 880368 1235936    0    0     0 17720 39133 67412 10 11 70  9  0  0 2026-09-08 15:14:31
 1  1      0 12282824 880656 1237088    0    0     0 16756 39019 67306  9 10 71  9  0  0 2026-09-08 15:14:32
 2  1      0 12278580 881028 1241460    0    0     0 20144 38627 66224 10 11 71  9  0  0 2026-09-08 15:14:33
 2  1      0 12276164 881388 1243660    0    0     0 17124 36961 63953  9 10 72  9  0  0 2026-09-08 15:14:34
 2  1      0 12273656 881836 1245900    0    0     0 18628 39508 68091  8 11 72  9  0  0 2026-09-08 15:14:35
 1  1      0 12270156 882308 1247120    0    0     0 17088 36737 63214  8 10 73  9  0  0 2026-09-08 15:14:36
 2  2      0 12266952 882720 1249228    0    0     0 18100 37930 65486  9  9 72 10  0  0 2026-09-08 15:14:37
 2  1      0 12264668 883176 1250580    0    0     0 18004 38904 67116  8 11 72  9  0  0 2026-09-08 15:14:38
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 0  2      0 12262356 883700 1252948    0    0     0 18560 38367 66089  8  9 74  9  0  0 2026-09-08 15:14:39
 3  1      0 12258612 884188 1254256    0    0     0 17772 38590 66544  8 10 73  9  0  0 2026-09-08 15:14:40
 0  2      0 12256396 884680 1255532    0    0     0 17908 38928 67069  8 10 73  9  0  0 2026-09-08 15:14:41
 0  1      0 12254976 885164 1256844    0    0     0 18196 38524 66411  8 10 72  9  0  0 2026-09-08 15:14:42
 4  1      0 12253020 885680 1258092    0    0     0 18308 38984 67350  8 10 73  9  0  0 2026-09-08 15:14:43
 4  1      0 12249936 886128 1261424    0    0     0 19904 38306 65958  8 10 72  9  0  0 2026-09-08 15:14:44
 3  1      0 12240452 886560 1271320    0    0     0 26780 38300 65908  8 10 73 10  0  0 2026-09-08 15:14:45
 2  1      0 12238860 887060 1272620    0    0     0 18756 39228 67714  8 11 72  9  0  0 2026-09-08 15:14:46
 0  1      0 12236468 887604 1273928    0    0     0 18452 39142 67398  9 11 71  9  0  0 2026-09-08 15:14:47
 1  1      0 12234536 888216 1275232    0    0     0 17964 38595 66566  8 10 73  9  0  0 2026-09-08 15:14:48
 1  2      0 12232716 888740 1277552    0    0     0 19212 38724 66844  8 10 73  9  0  0 2026-09-08 15:14:49
 3  1      0 12228688 889288 1279872    0    0     0 19244 38797 66606  8 10 72  9  0  0 2026-09-08 15:14:50
 1  0      0 12227140 889776 1281088    0    0     0 17876 38262 65773 10 10 71  9  0  0 2026-09-08 15:14:51
 2  1      0 12226312 890300 1282384    0    0     0 17928 38644 66651  8 10 72  9  0  0 2026-09-08 15:14:52
 2  1      0 12224392 890864 1283612    0    0     0 18256 39316 67653  8 10 72  9  0  0 2026-09-08 15:14:53
 1  1      0 12219468 891468 1286944    0    0     0 20216 38875 66844  9 11 71  9  0  0 2026-09-08 15:14:54
 3  1      0 12215448 892012 1289344    0    0     0 19684 39067 67437  8 10 72  9  0  0 2026-09-08 15:14:55
 3  1      0 12213732 892480 1290620    0    0     0 18336 38421 66117  9 10 73  9  0  0 2026-09-08 15:14:56
 2  1      0 12211560 893028 1291852    0    0     0 18232 38967 67160  8 10 73  9  0  0 2026-09-08 15:14:57
 6  1      0 12209420 893536 1293068    0    0     0 18408 39057 67352  8 11 72  9  0  0 2026-09-08 15:14:58
 5  0      0 12205792 893928 1296396    0    0     0 20068 37931 65061  9 10 72  9  0  0 2026-09-08 15:14:59
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 6  1      0 12202936 894368 1298708    0    0     0 19000 39267 67630  9 11 71  9  0  0 2026-09-08 15:15:00
 2  1      0 12200956 894904 1299940    0    0     0 18372 39472 67905  9 10 72  9  0  0 2026-09-08 15:15:01
 4  1      0 12198588 895416 1302300    0    0     0 19432 38989 67450  9 10 72  9  0  0 2026-09-08 15:15:02
 3  1      0 12195636 895888 1304660    0    0     0 19332 38875 67059  8 11 72  9  0  0 2026-09-08 15:15:03
11  2      0 12190796 896464 1307032    0    0     0 19472 38346 65996  8 10 72  9  0  0 2026-09-08 15:15:04
 1  1      0 12188564 897044 1308248    0    0     0 18544 39553 67846  9 11 71  9  0  0 2026-09-08 15:15:05
 1  1      0 12185560 897676 1310532    0    0     0 19372 38408 65958  8 10 72  9  0  0 2026-09-08 15:15:06
 1  0      0 12183500 898284 1311832    0    0     0 18344 39251 67686  9 12 70  9  0  0 2026-09-08 15:15:07
 0  1      0 12182692 898824 1313104    0    0     0 18604 39510 68155  9 10 71  9  0  0 2026-09-08 15:15:08
 0  1      0 12178752 899384 1315412    0    0     0 19116 37895 65315  8 11 72  9  0  0 2026-09-08 15:15:09
 1  1      0 12176888 899852 1316708    0    0     0 17832 38040 65292 10 10 71  9  0  0 2026-09-08 15:15:10
 3  1      0 12173216 900500 1320000    0    0     0 21028 39608 68557  9 11 71  9  0  0 2026-09-08 15:15:11
 0  2      0 12170696 901100 1322356    0    0     0 19960 39276 67817  9 10 71  9  0  0 2026-09-08 15:15:12
 0  2      0 12166980 901704 1324660    0    0     0 19500 38030 65469  9 10 72  9  0  0 2026-09-08 15:15:13
 0  1      0 12162388 902340 1327048    0    0     0 19604 38863 66892  8 11 72  9  0  0 2026-09-08 15:15:14
 1  1      0 12160456 902956 1328240    0    0     0 18768 37923 65345  8 10 72  9  0  0 2026-09-08 15:15:15
 6  2      0 12156620 903472 1330472    0    0     0 19676 38532 66147  8 11 72  9  0  0 2026-09-08 15:15:16
 0  0      0 12149076 904084 1331788    0    0     0 18476 39957 68912 11 11 69  9  0  0 2026-09-08 15:15:17
 5  1      0 12144920 904636 1335120    0    0     0 20516 38788 66445 10 12 69  9  0  0 2026-09-08 15:15:18
 0  1      0 12142996 905172 1336328    0    0     0 18332 39619 68280  9 11 71  9  0  0 2026-09-08 15:15:19
 2  3      0 12144160 905752 1337584    0    0     0 18676 39627 68403  9 11 71  9  0  0 2026-09-08 15:15:20
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 2  2      0 12141772 906404 1339924    0    0     0 19944 38667 66419  8 10 72  9  0  0 2026-09-08 15:15:21
 0  1      0 12139044 906836 1341220    0    0     0 18468 39111 67227  9 12 70  9  0  0 2026-09-08 15:15:22
 2  2      0 12136280 907324 1343536    0    0     0 19344 39368 67749 11 11 69  9  0  0 2026-09-08 15:15:23
 0  1      0 12133108 907808 1345728    0    0     0 18508 39694 68484 13 11 67  9  0  0 2026-09-08 15:15:24
 2  1      0 12129680 908320 1348964    0    0     0 19424 39485 67910 11 11 69  9  0  0 2026-09-08 15:15:25
 2  1      0 12124132 908872 1353232    0    0     0 20252 38399 66271 12 11 68  9  0  0 2026-09-08 15:15:26
 0  2      0 12123284 909396 1354360    0    0     0 17448 38439 66055 11 13 67  9  0  0 2026-09-08 15:15:27
 1  1      0 12122888 910012 1355616    0    0     0 18592 39097 67227  9 10 71  9  0  0 2026-09-08 15:15:28
 4  1      0 12122604 910644 1356840    0    0     0 18660 39029 66905  9 11 71  9  0  0 2026-09-08 15:15:29
 1  1      0 12120252 911188 1358100    0    0     0 17908 39176 67444 10 11 70  9  0  0 2026-09-08 15:15:30
 2  2      0 12118556 911816 1360360    0    0     0 19668 41026 70914 10 11 69  9  0  0 2026-09-08 15:15:31
 1  2      0 12117108 912392 1361600    0    0     0 19476 41511 71662 10 12 69  9  0  0 2026-09-08 15:15:32
 1  2      0 12113596 912952 1363784    0    0    16 17716 37087 63403 11 12 68  9  0  0 2026-09-08 15:15:33
 2  1      0 12111812 913536 1364980    0    0     0 17940 39485 68164 11 11 70  9  0  0 2026-09-08 15:15:34
 3  1      0 12109352 914168 1367240    0    0     0 19796 40228 69232 10 12 69  9  0  0 2026-09-08 15:15:35
 1  1      0 12200828 914760 1338484    0    0     0 17688 28896 48735  8  9 75  9  0  0 2026-09-08 15:15:36
 1  1      0 12200840 915388 1339272    0    0     0 16704 18377 29665  5  6 80  9  0  0 2026-09-08 15:15:37
 0  1      0 12197728 915992 1340380    0    0     0 15708 17021 27246  5  7 79  8  0  0 2026-09-08 15:15:38
 0  1      0 12196844 916556 1341496    0    0     0 15896 17543 28144  6  7 78  8  0  0 2026-09-08 15:15:39
 1  1      0 12195532 917176 1342748    0    0     0 15940 17350 27872  5  6 79  9  0  0 2026-09-08 15:15:40
 2  1      0 12195744 917376 1343212    0    0     0  9412 6528 9385  3  2 91  3  0  0 2026-09-08 15:15:41
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  1      0 12189748 917584 1343552    0    0     0  9388 7669 11336  4  3 89  3  0  0 2026-09-08 15:15:42
 5  1      0 12085488 917748 1343640    0    0     0  7184 11152 17018 15  7 76  2  0  0 2026-09-08 15:15:43
 0  2      0 12202592 917868 1321800    0    0     0  6216 7413 10411  6  4 87  2  0  0 2026-09-08 15:15:44
 2  1      0 12315140 918124 1178536    0    0     0  9312 11565 17602  8  6 81  5  0  0 2026-09-08 15:15:45
 0  1      0 12241188 918228 1178536    0    0     0  4292 7524 10717 11  5 83  2  0  0 2026-09-08 15:15:46
 1  1      0 12272680 918300 1178600    0    0     0  3940 10247 15783 11  8 80  1  0  0 2026-09-08 15:15:47
 2  0      0 12335144 918464 1178604    0    0     0  7708 8184 12158  6  6 85  2  0  0 2026-09-08 15:15:48
 1  0      0 12234372 918508 1178668    0    0     0   288 8904 13221 15  6 78  0  0  0 2026-09-08 15:15:49
 0  0      0 12340816 918532 1171772    0    0     0   428 4383 5777  3  2 94  1  0  0 2026-09-08 15:15:50
 0  0      0 12345768 918568 1171772    0    0     0   264 2663 3253  0  1 99  0  0  0 2026-09-08 15:15:51
 0  0      0 12349972 918592 1171772    0    0     0   316 2743 3350  0  0 99  1  0  0 2026-09-08 15:15:52
 0  0      0 12355920 918620 1171772    0    0     0   264 2758 3397  0  1 99  0  0  0 2026-09-08 15:15:53
 0  0      0 12359844 918648 1171772    0    0     0  1464 2821 3325  0  1 98  0  0  0 2026-09-08 15:15:54
 0  0      0 12363624 918680 1171772    0    0     0   344 2827 3438  0  1 99  0  0  0 2026-09-08 15:15:55
 0  0      0 12364440 918692 1171804    0    0     0   268 2922 3532  0  1 99  0  0  0 2026-09-08 15:15:56
 0  0      0 12367632 918716 1171804    0    0     0   280 2713 3273  0  0 99  0  0  0 2026-09-08 15:15:57
 0  0      0 12371824 918748 1171804    0    0     0   272 2813 3401  0  0 99  1  0  0 2026-09-08 15:15:58
 0  1      0 12362840 918784 1177740    0    0     0   812 4437 6115  0  1 98  1  0  0 2026-09-08 15:15:59
