procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 2  1      0 13091936 519176 818464    0    0     0 17388 42394 73113  9 11 71  9  0  0 2026-09-08 15:06:02
 1  2      0 13089920 520200 819800    0    0     0 17480 41249 71046  8 11 72  9  0  0 2026-09-08 15:06:03
 3  1      0 13081040 521212 825348    0    0     0 21992 42953 74391 10 12 69  9  0  0 2026-09-08 15:06:04
 0  1      0 13077004 522260 827712    0    0    16 18252 41799 72297  9 11 70  9  0  0 2026-09-08 15:06:05
 0  1      0 13074604 523228 829032    0    0     0 17712 42224 72989  8 10 72  9  0  0 2026-09-08 15:06:06
 6  1      0 13070696 524280 832432    0    0     0 19972 40839 70479  9 10 73  9  0  0 2026-09-08 15:06:07
 0  2      0 13066756 525284 834816    0    0     0 19744 42340 73367  9 11 71  9  0  0 2026-09-08 15:06:08
 6  1      0 13064992 526260 836052    0    0    52 17576 41947 72150 13 11 67  9  0  0 2026-09-08 15:06:09
 2  1      0 13062976 527304 837352    0    0     0 18436 42517 73410 11 11 69  9  0  0 2026-09-08 15:06:10
 2  1      0 13142532 528352 812888    0    0     0 22012 38928 67012  9 10 72  9  0  0 2026-09-08 15:06:11
 0  1      0 13145040 529412 813936    0    0     0 15800 17485 28549  4  6 81  8  0  0 2026-09-08 15:06:12
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 0  1      0 13141752 530468 816064    0    0     4 16572 17400 28170  4  6 81  9  0  0 2026-09-08 15:06:13
 0  0      0 13140496 531200 817020    0    0     0 13860 15003 24023  4  6 83  7  0  0 2026-09-08 15:06:14
 0  0      0 13139252 531468 817452    0    0     0  8092 5991 8353  3  2 92  3  0  0 2026-09-08 15:06:15
 3  0      0 13136300 531720 817712    0    0     0  7436 7565 10944  3  3 91  3  0  0 2026-09-08 15:06:16
 1  0      0 13017992 531908 817760    0    0     0  5896 10553 15731 14  6 77  2  0  0 2026-09-08 15:06:17
